id gender age edr country_id nationality area area_city city_id sample_id ur1new presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year edu urban_rural state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
21150289815 1 53 3 15 15 1504 1500002021 1505274 151069321 1 1 4 4 2 NA 6 NA 1 2 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150146216 1 48 3 15 15 1504 1500002021 1504813 150463821 1 1 3 2 1 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" caieiras 3509007 SP 4 2018 1 3
21150075770 1 51 1 15 15 1502 1500002021 1502614 150090121 1 5 4 NA 3 NA 7 NA 1 1 2021 6 1 1500015 paraiba "campina grande" NA NA 0 NA 0 NA
21150202634 1 32 2 15 15 1502 1500002021 1501314 150460021 1 3 2 3 2 NA 2 NA 5 2 2021 9 1 1500010 maranhao "sao luis" NA NA 0 NA 0 NA
21150171462 1 36 3 15 15 1504 1500002021 1504838 151061721 1 5 3 2 2 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" catanduva NA NA 0 NA 0 NA
21150248278 1 61 2 15 15 1504 1500002021 1502350 150467021 1 1 4 2 2 NA 7 NA 4 1 2021 9 1 1500013 "minas gerais" "serra do salitre" NA NA 0 NA 0 NA
21150334119 1 80 3 15 15 1504 1500002021 1504759 150290221 3 1 4 2 2 NA 6 NA 1 1 2021 12 2 1500025 "sao paulo" atibaia NA NA 0 NA 0 NA
21150026628 1 40 3 15 15 1505 1500002021 1502983 150359221 1 5 3 3 3 NA 7 NA 1 1 2021 12 1 1500016 parana mandaguari NA NA 0 NA 0 NA
21150368006 1 55 3 15 15 1504 1500002021 1504796 151334921 2 5 4 2 1 NA 7 NA 4 1 2021 12 1 1500025 "sao paulo" borebi NA NA 0 NA 0 NA
21150384660 1 67 3 15 15 1503 1500002021 1500804 150086321 1 5 2 NA 2 NA 7 NA 1 1 2021 12 1 1500007 "distrito federal" brasilia 5300108 DF 6 2011 1 10
21150405546 1 54 3 15 15 1502 1500002021 1500509 151038021 1 1 4 4 1 NA NA NA 1 1 2021 12 1 1500005 bahia planalto NA NA 0 NA 0 NA
21150219593 1 22 3 15 15 1502 1500002021 1503774 150086621 2 3 3 2 1 NA 4 NA 4 3 2021 12 1 1500020 "rio grande do norte" natal 2408102 RN 2 2018 1 3
21150160980 1 18 2 15 15 1501 1500002021 1500723 150622021 4 5 1 1 2 NA 6 NA 4 1 2021 9 2 1500006 ceara maracanau NA NA 0 NA 0 NA
21150241807 1 30 3 15 15 1501 1500002021 1502478 151161121 1 1 4 4 1 NA 7 NA 5 1 2021 12 1 1500014 para jacareacanga NA NA 0 NA 0 NA
21150047368 2 52 2 15 15 1504 1500002021 1501569 151366921 1 5 4 3 3 NA 1 NA 1 1 2021 9 1 1500013 "minas gerais" acaiaca NA NA 0 NA 0 NA
21150286850 1 70 2 15 15 1505 1500002021 1502976 150211821 1 2 2 4 2 NA 5 NA 1 1 2021 9 1 1500016 parana londrina NA NA 0 NA 0 NA
21150122855 2 35 3 15 15 1502 1500002021 1500615 150128121 1 5 1 3 3 NA 7 NA 1 1 2021 12 1 1500005 bahia "vitoria da conquista" NA NA 0 NA 0 NA
21150381690 1 37 3 15 15 1501 1500002021 1502450 150348721 1 5 2 2 3 NA 7 NA 3 1 2021 12 1 1500014 para cameta NA NA 0 NA 0 NA
21150192326 1 45 3 15 15 1501 1500002021 1500178 150117421 1 5 3 2 1 NA 7 NA 1 1 2021 12 1 1500004 amazonas manaus NA NA 0 NA 0 NA
21150402119 1 20 3 15 15 1504 1500002021 1500882 150221621 1 4 3 3 3 NA 6 NA 5 2 2021 12 1 1500008 "espirito santo" vitoria NA NA 0 NA 0 NA
21150373411 1 27 3 15 15 1503 1500002021 1500992 150598521 1 4 3 2 2 NA 7 NA 1 2 2021 12 1 1500009 goias inhumas 5210000 GO 2 2020 1 1
21150336567 1 46 2 15 15 1503 1500002021 1501100 150639221 1 1 4 NA 2 NA 1 NA 4 1 2021 9 1 1500009 goias "sao luis de montes belos" 5220108 GO 2 2020 1 1
21150092348 1 31 2 15 15 1501 1500002021 1503327 150124921 1 5 4 1 3 NA 7 NA 5 5 2021 9 1 1500017 pernambuco "santa cruz do capibaribe" NA NA 0 NA 0 NA
21150435422 1 16 1 15 15 1501 1500002021 1500128 150617621 1 4 3 2 1 NA 6 NA 5 1 2021 6 1 1500003 amapa calcoene NA NA 0 NA 0 NA
21150276683 1 35 1 15 15 1502 1500002021 1501270 150122721 1 1 4 1 3 NA 7 NA 5 1 2021 6 1 1500010 maranhao peritoro NA NA 0 NA 0 NA
21150397649 2 42 1 15 15 1505 1500002021 1504241 150605121 1 3 1 1 3 NA 4 NA 1 5 2021 6 1 1500021 "rio grande do sul" "sao jorge" NA NA 0 NA 0 NA
21150070906 1 36 2 15 15 1505 1500002021 1504491 151145621 2 3 3 2 3 NA 5 NA 1 1 2021 9 1 1500024 "santa catarina" criciuma NA NA 0 NA 0 NA
21150456638 2 35 3 15 15 1504 1500002021 1505228 151069921 1 5 2 2 2 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "santa cruz da conceicao" NA NA 0 NA 0 NA
21150337827 1 52 3 15 15 1502 1500002021 1503774 151182021 1 2 4 3 2 NA 7 NA 1 1 2021 12 1 1500020 "rio grande do norte" natal 2408102 RN 2 2018 1 3
21150016149 2 21 3 15 15 1501 1500002021 1503368 150776021 2 3 2 2 2 NA 6 NA 7 1 2021 12 1 1500017 pernambuco "vitoria de santo antao" NA NA 0 NA 0 NA
21150164717 2 54 1 15 15 1504 1500002021 1503617 151110321 1 1 4 NA 1 NA 7 NA 1 1 2021 6 1 1500019 "rio de janeiro" "duas barras" NA NA 0 NA 0 NA
21150007669 1 66 3 15 15 1505 1500002021 1504139 151048821 1 1 3 1 2 NA 5 NA 1 1 2021 12 1 1500021 "rio grande do sul" "novo hamburgo" NA NA 0 NA 0 NA
21150255117 2 51 2 15 15 1501 1500002021 1500182 150168721 4 1 4 2 2 NA 7 NA 5 1 2021 9 2 1500004 amazonas nhamunda NA NA 0 NA 0 NA
21150280352 2 35 3 15 15 1504 1500002021 1504776 150994321 1 2 2 4 3 NA 5 NA 1 1 2021 12 1 1500025 "sao paulo" barueri NA NA 0 NA 0 NA
21150115899 2 36 3 15 15 1504 1500002021 1505274 151138721 1 5 3 2 2 NA 6 NA 1506 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150343075 2 58 3 15 15 1504 1500002021 1505099 150279021 1 5 2 2 2 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" osasco 3534401 SP 4 2018 1 3
21150456018 1 38 3 15 15 1501 1500002021 1503316 150416021 1 1 4 2 2 NA 5 NA 1 1 2021 12 1 1500017 pernambuco recife 2611606 PE 2 2013 1 8
21150454091 2 30 3 15 15 1501 1500002021 1502548 151169021 4 3 2 2 2 NA 7 NA 5 2 2021 12 2 1500014 para tailandia NA NA 0 NA 0 NA
21150177552 1 59 3 15 15 1504 1500002021 1505274 151074121 1 1 4 2 2 NA 7 NA 1 2 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150077119 1 29 2 15 15 1502 1500002021 1501334 150298821 2 5 1 1 3 NA 1 NA 5 1 2021 9 1 1500010 maranhao tufilandia NA NA 0 NA 0 NA
21150080621 1 34 1 15 15 1504 1500002021 1504813 150904421 1 5 1 1 3 NA 1 NA 5 1 2021 6 1 1500025 "sao paulo" caieiras 3509007 SP 4 2018 1 3
21150103603 1 25 2 15 15 1503 1500002021 1501371 150198721 1 2 3 2 2 NA 4 NA 1 1 2021 9 1 1500011 "mato grosso" canarana NA NA 0 NA 0 NA
21150226145 1 59 2 15 15 1505 1500002021 1502864 150304121 2 1 3 NA 1 NA 6 NA 1 2 2021 9 1 1500016 parana colombo NA NA 0 NA 0 NA
21150199675 2 60 3 15 15 1502 1500002021 1500538 150499021 1 3 1 1 2 NA 7 NA 4 1 2021 12 1 1500005 bahia salvador NA NA 0 NA 0 NA
21150319054 1 63 2 15 15 1504 1500002021 1504919 150267621 2 5 3 3 3 NA 5 NA 1 1 2021 9 1 1500025 "sao paulo" guararema NA NA 0 NA 0 NA
21150288447 3 29 3 15 15 1504 1500002021 1500821 150179321 2 5 3 2 3 NA 7 NA 1 1 2021 12 1 1500008 "espirito santo" cariacica NA NA 0 NA 0 NA
21150244064 1 36 2 15 15 1502 1500002021 1500519 150497021 1 5 1 1 3 NA 7 NA 4 1 2021 9 1 1500005 bahia queimadas NA NA 0 NA 0 NA
21150341271 1 44 3 15 15 1503 1500002021 1500977 150092321 1 4 3 1 2 NA 5 NA 5 2 2021 12 1 1500009 goias goiania 5208707 GO 2 2020 1 1
21150044678 1 21 3 15 15 1503 1500002021 1501473 150255521 1 3 3 3 2 NA 4 NA 1506 1 2021 12 1 1500011 "mato grosso" "tangara da serra" NA NA 0 NA 0 NA
21150053501 2 47 3 15 15 1504 1500002021 1501631 150008821 1 5 2 1 3 NA 7 NA 1 1 2021 12 1 1500013 "minas gerais" "belo horizonte" 3106200 MG 1 2013 1 8
21150333475 1 37 2 15 15 1505 1500002021 1503172 150349621 1 1 4 4 2 NA 3 NA 5 1 2021 9 1 1500016 parana umuarama NA NA 0 NA 0 NA
21150104382 1 64 2 15 15 1504 1500002021 1503666 151066821 2 1 4 3 2 NA 5 NA 1 1 2021 9 1 1500019 "rio de janeiro" "sao goncalo" NA NA 0 NA 0 NA
21150246026 2 38 2 15 15 1504 1500002021 1505345 150256321 1 5 3 NA 3 NA 7 NA 5 1 2021 9 1 1500025 "sao paulo" "vargem grande paulista" NA NA 0 NA 0 NA
21150184277 1 28 3 15 15 1504 1500002021 1501855 151223921 4 3 3 NA 3 NA 7 NA 5 1 2021 12 2 1500013 "minas gerais" florestal NA NA 0 NA 0 NA
21150437817 2 53 3 15 15 1504 1500002021 1505274 151319321 1 3 3 3 2 NA 5 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150440770 1 39 2 15 15 1503 1500002021 1500889 150807921 3 3 4 2 3 NA 3 NA 1 1 2021 9 2 1500009 goias "aguas lindas de goias" 5200258 GO 3 2017 1 4
