id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
615 1 29 1 15 155106208 1 6 3 2 2 2 1 5 14 5 2 2012 1551 "mato grosso" "nova brasilandia" NA NA 0 NA 0 NA
1392 1 20 11 15 154106902 1 7 1 2 4 2 1 4 16 1506 3 2012 1541 parana curitiba NA NA 0 NA 0 NA
1229 1 40 11 15 152910800 1 3 2 3 2 2 1 6 16 5 1 2012 1529 bahia "feira de santana" NA NA 0 NA 0 NA
1297 1 35 8 15 155204805 1 9 2 3 3 1 2 6 NA 5 1 2012 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
1030 1 50 15 15 155002704 1 8 2 2 2 1 1 6 16 5 2 2012 1550 "mato grosso do sul" "campo grande" NA NA 0 NA 0 NA
10 2 22 10 15 151100452 1 7 2 2 2 1 2 3 6 5 2 2012 1511 rondonia buritis NA NA 0 NA 0 NA
1183 1 33 11 15 153520509 1 NA 2 3 2 1 1 4 16 1 4 2012 1535 "sao paulo" indaiatuba NA NA 0 NA 0 NA
39 1 29 15 15 151400100 1 9 2 3 3 1 1 7 16 5 1 2012 1514 roraima "boa vista" NA NA 0 NA 0 NA
1391 2 19 11 15 3550308 1 3 2 3 1 2 1 NA 16 1 1 2012 1535 "sao paulo" NA NA NA 0 NA 0 NA
1453 2 24 11 15 153304557 1 5 3 2 2 2 1 7 16 5 2 2012 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 1 2011 1 1
726 1 45 8 15 155107602 1 6 3 2 2 2 1 7 16 5 1 2012 1551 "mato grosso" rondonopolis NA NA 0 NA 0 NA
1225 2 23 11 15 152111300 1 8 2 4 3 2 2 7 10 5 2 2012 1521 maranhao "sao luis" NA NA 0 NA 0 NA
1061 2 44 4 15 154215802 1 2 3 2 2 NA 1 6 16 1 2 2012 1542 "santa catarina" "sao bento do sul" NA NA 0 NA 0 NA
1214 2 40 11 15 152111300 1 3 2 4 4 1 1 4 16 4 4 2012 1521 maranhao "sao luis" NA NA 0 NA 0 NA
1381 1 64 11 15 154106902 1 10 2 2 2 1 1 4 16 1506 2 2012 1541 parana curitiba NA NA 0 NA 0 NA
912 1 48 8 15 151302603 1 5 2 3 2 2 1 5 10 1 2 2012 1513 amazonas manaus NA NA 0 NA 0 NA
