id gender age edre country_id nationality area city_level area_city city_id sample_id urban_rural living_cluster political_stance presidential_approval_rating env_attitude china_attitude russia_attitude america_attitude pe_fina ocupoit ing4 cp13 fam_fina etid news_read smedia3n smedia3b year edu state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
7981 1 19 4 15 15 1502 3 1502 152708907 57 1 3 7 2 1 2 3 2 3 NA 7 1 1506 1 2 1 1 2023 12 1527 alagoas satuba NA NA 0 NA 0 NA
5512 2 52 1 15 15 1502 2 1502 152802908 92 1 173 6 2 1 4 NA 3 1 NA 3 4 1503 5 1 2 NA 2023 3 1528 sergipe itabaiana NA NA 0 NA 0 NA
6422 1 29 4 15 15 1502 3 1502 152708907 57 1 87 5 2 1 2 3 2 2 NA 7 4 1503 5 1 1 3 2023 12 1527 alagoas satuba NA NA 0 NA 0 NA
7756 1 40 1 15 15 1502 2 1502 152802908 92 1 104 5 2 1 4 4 2 1 5 4 4 1503 5 1 2 NA 2023 3 1528 sergipe itabaiana NA NA 0 NA 0 NA
5985 1 38 1 15 15 1502 1 1502 152611606 91 1 146 10 2 3 4 3 3 1 NA 3 4 1504 1 5 NA NA 2023 3 1526 pernambuco recife 2611606 PE 4 2013 1 10
6273 2 70 4 15 15 1502 1 1502 152611606 91 1 146 3 2 3 2 4 2 2 NA 1 4 1507 5 1 1 1 2023 12 1526 pernambuco recife 2611606 PE 4 2013 1 10
4277 2 37 5 15 15 1502 1 1502 152611606 91 1 61 6 3 1 2 4 3 1 NA 4 4 1503 4 1 5 NA 2023 14 1526 pernambuco recife 2611606 PE 4 2013 1 10
4610 1 29 2 15 15 1502 2 1502 152604106 59 1 24 8 3 1 1 3 2 1 9 7 4 1509 5 1 1 3 2023 6 1526 pernambuco caruaru NA NA 0 NA 0 NA
5086 1 59 0 15 15 1502 1 1502 152607901 35 1 34 1 3 4 4 NA NA 1 5 5 4 1502 4 2 NA NA 2023 0 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
7279 2 24 6 15 15 1502 2 1502 152604106 59 1 174 10 3 1 3 3 NA 3 5 7 4 1512 5 2 2 NA 2023 16 1526 pernambuco caruaru NA NA 0 NA 0 NA
7223 1 44 4 15 15 1502 1 1502 152607901 35 1 34 1 1 1 3 3 3 1 5 7 4 1504 5 1 1 1 2023 12 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
887 1 28 2 15 15 1502 2 1502 152604106 59 1 174 6 3 1 4 NA 3 3 5 7 4 1502 1506 1 3 NA 2023 6 1526 pernambuco caruaru NA NA 0 NA 0 NA
539 2 24 4 15 15 1502 1 1502 152607901 35 1 34 5 3 2 2 4 2 2 NA 5 4 1502 4 2 1 2 2023 12 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
3191 1 32 2 15 15 1502 1 1502 152607901 35 1 224 8 2 1 1 4 1 3 NA 1 4 1503 5 5 NA NA 2023 6 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
3430 1 56 4 15 15 1502 1 1502 152611606 91 1 146 1 2 1 3 4 3 2 5 7 4 1506 5 1 1 1 2023 12 1526 pernambuco recife 2611606 PE 4 2013 1 10
253 1 20 4 15 15 1502 1 1502 152607901 35 1 34 10 2 1 2 3 2 2 NA 5 4 1503 4 2 2 NA 2023 12 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
4060 1 34 4 15 15 1502 1 1502 152611606 91 1 61 10 5 1 4 2 3 3 8 7 4 1504 5 1 2 NA 2023 12 1526 pernambuco recife 2611606 PE 4 2013 1 10
6644 1 43 6 15 15 1502 2 1502 152604106 59 1 174 10 5 4 4 4 4 1 NA 4 4 1503 5 1 2 NA 2023 16 1526 pernambuco caruaru NA NA 0 NA 0 NA
1659 2 20 5 15 15 1502 1 1502 152607901 35 1 224 4 3 1 2 3 3 2 NA 5 4 1512 4 2 1 2 2023 14 1526 pernambuco "jaboatao dos guararapes" 2607901 PE 3 2020 1 3
8820 1 25 5 15 15 1502 1 1502 152611606 91 1 61 10 4 2 2 4 2 1 NA 7 4 1510 4 1 1 3 2023 14 1526 pernambuco recife 2611606 PE 4 2013 1 10
1956 2 47 0 15 15 1502 2 1502 152604106 59 1 174 10 2 1 3 NA NA 1 NA 7 4 NA 4 2 2 NA 2023 0 1526 pernambuco caruaru NA NA 0 NA 0 NA
2203 2 51 1 15 15 1502 2 1502 152604106 59 1 24 3 2 2 2 4 2 3 NA 7 3 1503 5 1 2 NA 2023 3 1526 pernambuco caruaru NA NA 0 NA 0 NA
1225 2 34 1 15 15 1502 1 1502 152611606 91 1 146 7 5 1 4 3 3 1 NA 6 4 1502 1 2 1 2 2023 3 1526 pernambuco recife 2611606 PE 4 2013 1 10
5194 1 58 2 15 15 1502 1 1502 152611606 91 1 61 6 3 1 3 3 3 2 NA 4 4 1505 5 2 3 NA 2023 6 1526 pernambuco recife 2611606 PE 4 2013 1 10
9700 1 27 4 15 15 1501 3 1501 151100452 99 1 116 9 5 1 3 4 1 3 4 4 1 1511 5 1 1 1 2023 12 1511 rondonia buritis NA NA 0 NA 0 NA
4268 2 24 1 15 15 1501 2 1501 151100205 36 1 142 7 3 1 4 4 3 2 NA 7 4 1508 5 2 2 NA 2023 3 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
2277 1 63 2 15 15 1501 2 1501 151100205 36 1 25 9 3 1 4 4 2 3 NA 7 4 1503 1506 1 NA NA 2023 6 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
8429 1 79 0 15 15 1501 3 1501 151100452 99 1 75 1 1 1 1 3 2 1 NA 7 1 1503 5 2 NA NA 2023 0 1511 rondonia buritis NA NA 0 NA 0 NA
8233 1 29 3 15 15 1501 2 1501 151100205 36 1 25 5 3 1 3 4 2 2 5 5 4 1509 5 1 1 2 2023 9 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
2884 1 41 1 15 15 1501 2 1501 151100205 36 1 142 10 5 1 4 4 2 3 3 7 3 1503 5 1 NA NA 2023 3 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
8226 2 30 3 15 15 1501 2 1501 151100205 36 1 25 10 5 3 3 3 2 3 NA 3 2 1501 5 1 1 2 2023 9 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
6604 2 53 4 15 15 1501 3 1501 151100452 99 1 75 8 5 3 4 3 2 3 9 5 4 1503 5 2 3 NA 2023 12 1511 rondonia buritis NA NA 0 NA 0 NA
1406 1 20 3 15 15 1501 3 1501 151100452 99 1 75 7 5 3 3 3 2 3 8 5 3 1505 5 2 NA NA 2023 9 1511 rondonia buritis NA NA 0 NA 0 NA
3450 1 36 6 15 15 1501 3 1501 151100452 99 1 116 5 3 1 4 4 4 2 2 7 4 1515 5 1 1 2 2023 16 1511 rondonia buritis NA NA 0 NA 0 NA
7395 1 56 4 15 15 1501 2 1501 151100205 36 1 142 1 2 1 3 3 2 3 NA 7 4 1510 1 1 NA NA 2023 12 1511 rondonia "porto velho" 1100205 RO 1 2021 1 2
